train_loss,val_loss,val_recall
1.0082864695125155,0.9958311915397644,0.7535211267605634
0.7648423579004076,0.7276011109352112,0.8485915492957746
0.6609908276134067,0.5833178162574768,0.9154929577464789
0.6019338899188571,0.513851523399353,0.9225352112676056
0.5618601044019064,0.4697388708591461,0.9225352112676056
0.5301903221342299,0.43604007363319397,0.926056338028169
0.49848345584339565,0.40957605838775635,0.9295774647887324
0.4840092427200741,0.38878944516181946,0.9225352112676056
0.4576689865854051,0.37664511799812317,0.9295774647887324
0.441884395149019,0.3593734800815582,0.9225352112676056
0.4364810486634572,0.34985682368278503,0.9295774647887324
0.4228300021754371,0.3414258360862732,0.9295774647887324
0.410397685236401,0.33529090881347656,0.9295774647887324
0.39810894595252144,0.32669761776924133,0.9366197183098591
0.3911586006482442,0.3246058225631714,0.9366197183098591
0.3877461751302083,0.3199450969696045,0.9366197183098591
0.3781519399748908,0.31552428007125854,0.9366197183098591
0.38104264934857685,0.31614384055137634,0.9401408450704225
0.37560225195354885,0.3071063756942749,0.9401408450704225
0.36269012424680924,0.3119460642337799,0.9401408450704225
0.360971149471071,0.3072926700115204,0.9401408450704225
0.3527729875511593,0.3061865270137787,0.9401408450704225
0.3518756661150191,0.3019517958164215,0.9436619718309859
0.3530815839767456,0.2990906536579132,0.9471830985915493
0.3444955911901262,0.2971729338169098,0.9471830985915493
0.34447429908646476,0.2948347330093384,0.9471830985915493
0.33637765381071305,0.29991310834884644,0.9436619718309859
0.3353952036963569,0.2932405471801758,0.9507042253521126
0.33421725696987575,0.29703038930892944,0.9471830985915493
0.3251129256354438,0.2959449589252472,0.9507042253521126
0.33002188470628524,0.28669559955596924,0.9507042253521126
0.331239296330346,0.28758248686790466,0.9471830985915493
0.3327270481321547,0.2899988293647766,0.9507042253521126
0.32254260447290206,0.28656309843063354,0.954225352112676
0.32314791282018024,0.2769935727119446,0.954225352112676
0.3187081648243798,0.279538094997406,0.954225352112676
0.3145311673482259,0.2783791720867157,0.9577464788732394
0.31464026040501064,0.2785126864910126,0.9577464788732394
0.3055075291130278,0.27879196405410767,0.9577464788732394
0.3094407916069031,0.2738244831562042,0.9577464788732394
0.3113226559427049,0.2767980098724365,0.9577464788732394
0.3102641138765547,0.27471596002578735,0.954225352112676
0.31499195761150783,0.2709348797798157,0.9507042253521126
0.3154649833838145,0.2724989354610443,0.9577464788732394
0.3085467616717021,0.26513218879699707,0.9577464788732394
0.3073561622036828,0.26668208837509155,0.9577464788732394
0.3149932258658939,0.2665116786956787,0.9612676056338029
0.30212894413206315,0.2629982829093933,0.9577464788732394
0.3013698127534654,0.26251867413520813,0.9577464788732394
0.3035138183169895,0.26504945755004883,0.9577464788732394
